value;clc-id;custom-name;clc-name
1;111;urban;Continuous urban fabric
2;112;urban;Discontinuous urban fabric
3;121;urban;Industrial or commercial units
4;122;urban;Road and rail networks and associated land
5;123;urban;Port areas
6;124;urban;Airports
7;131;urban;Mineral extraction sites
8;132;urban;Dump sites
9;133;urban;Construction sites
10;141;park;Green urban areas
11;142;park;Sport and leisure facilities
12;211;farm;Non-irrigated arable land
13;212;farm;Permanently irrigated land
14;213;farm;Rice fields
15;221;farm;Vineyards
16;222;farm;Fruit trees and berry plantations
17;223;farm;Olive groves
18;231;nature;Pastures
19;241;farm;Annual crops associated with permanent crops
20;242;farm;Complex cultivation patterns
21;243;farm;Land principally occupied by agriculture with significant areas of natural vegetation
22;244;farm;Agro-forestry areas
23;311;nature;Broad-leaved forest
24;312;nature;Coniferous forest
25;313;nature;Mixed forest
26;321;nature;Natural grasslands
27;322;nature;Moors and heathland
28;323;nature;Sclerophyllous vegetation
29;324;nature;Transitional woodland-shrub
30;331;nature;Beaches dunes sands
31;332;nature;Bare rocks
32;333;nature;Sparsely vegetated areas
33;334;nature;Burnt areas
34;335;nature;Glaciers and perpetual snow
35;411;nature;Inland marshes
36;412;nature;Peat bogs
37;421;nature;Salt marshes
38;422;nature;Salines
39;423;nature;Intertidal flats
40;511;water;Water courses
41;512;water;Water bodies
42;521;water;Coastal lagoons
43;522;water;Estuaries
44;523;water;Sea and ocean
48;999;NA;NODATA
